variable_name,units,value,data_reference
a_G_glucose_system,l_per_mmol,2.5667E+6,Ormsbee2024
p_G_glucose_system,per_s,6.6667e-4,Ormsbee2024
V_G_glucose_system,litre,10.56,Ormsbee2024
CNS_glucose_system,mmol_per_s,0.005,Ormsbee2024
x_L_glucose_system,dimensionless,0.6,Ormsbee2024
n_L_glucose_system,per_s,2.63e-3,Ormsbee2024
a_I_glucose_system,l_per_mmol,2.833E+5,Ormsbee2024
n_K_glucose_system,per_s,1.0333e-3,Ormsbee2024
n_C_glucose_system,per_s,4.25e-4,Ormsbee2024
n_I_glucose_system,l_per_s,4.08e-3,Ormsbee2024
V_I_glucose_system,litre,4,Ormsbee2024
u_en_glucose_system,mmol_per_s,2.5E-9,Ormsbee2024
u_ex_glucose_system,mmol_per_s,0,McHugh2024
EGP_glucose_system,mmol_per_s,0.0117,Ormsbee2024
SI_glucose_system,l_per_mmol_per_s,3000,Ormsbee2024
G_init_glucose_system,mmol_per_l,5,Ormsbee2024
I_init_glucose_system,mmol_per_l,3.3E-8,Ormsbee2024
Q_init_glucose_system,mmol_per_l,1.65E-8,Ormsbee2024
V_Q_glucose_system,litre,4.8,Ormsbee2024
GFast_glucose_system,mmol_per_l,4.9,McHugh2024
D_glucose_system,mmol_per_s,0,McHugh2024
d1_glucose_system,per_s,5.7762E-4,McHugh2024
d2_glucose_system,per_s,1.2167E-4,McHugh2024
P1_init_glucose_system,mmol,0.001,McHugh2024
P2_init_glucose_system,mmol,0,McHugh2024
