Edge_ID_in_Matrix,Source_Node_in_G,Target_Node_in_G,WorldLength,EstimatedRadius,Conductance,FlowRate,PressureDrop,FeedingStatus,GridBlockID
0,44,40,2.4282,0.4168,7.0582e-18,2.1240e-53,3.0093e-36,N/A,tissue_block_92
1,44,99,2.0001,0.6252,5.3558e-19,1.6117e-54,3.0093e-36,N/A,tissue_block_92
2,62,133,2.7549,0.8904,2.4885e-17,4.9425e-51,1.9861e-34,N/A,tissue_block_93
3,68,62,3.3779,1.1971,1.4018e-16,2.1092e-51,1.5046e-35,N/A,tissue_block_93
4,69,68,3.7593,0.8993,2.8813e-17,1.9942e-51,6.9213e-35,N/A,tissue_block_93
5,69,106,4.0372,0.2210,1.0613e-18,6.3876e-54,6.0185e-36,N/A,tissue_block_93
6,69,126,4.0934,0.2210,1.0468e-18,2.2050e-53,2.1065e-35,N/A,tissue_block_93
7,69,129,4.3473,0.2210,9.8560e-19,2.3727e-53,2.4074e-35,N/A,tissue_block_93
8,69,142,0.7750,0.8841,1.3977e-16,8.4118e-51,6.0185e-35,N/A,tissue_block_93
9,73,140,1.9840,1.0767,8.6385e-18,2.5996e-51,3.0093e-34,N/A,tissue_block_94
10,73,141,3.9115,1.0548,5.4553e-17,1.0671e-50,1.9560e-34,N/A,tissue_block_94
11,106,105,0.4553,0.3589,2.4641e-52,2.2246e-87,9.0278e-36,N/A,tissue_block_92
12,122,123,4.6222,0.1250,2.3175e-19,5.5792e-54,2.4074e-35,N/A,tissue_block_92
13,123,68,3.6977,0.2210,2.7598e-18,8.3048e-54,3.0093e-36,N/A,tissue_block_93
14,126,40,3.6972,0.3126,2.8973e-19,2.0053e-53,6.9213e-35,N/A,tissue_block_92
15,129,44,2.9450,0.2084,3.6373e-19,2.2986e-53,6.3195e-35,N/A,tissue_block_92
16,140,62,2.9760,0.5058,2.3036e-17,2.6342e-51,1.1435e-34,N/A,tissue_block_93
17,141,69,1.3411,1.0007,8.0766e-17,1.0937e-50,1.3542e-34,N/A,tissue_block_93
18,144,73,0.4830,0.6252,1.7965e-16,1.2975e-50,7.2222e-35,N/A,tissue_block_94
19,145,144,14.4894,0.0313,7.3929e-20,1.3816e-50,1.8688e-31,N/A,tissue_block_89
